A̱o,Trimestre,Ingresos (miles de pesos),Periodo,Trimestre_Label
2024-01-01,2,442032166.69,Abr-Jun 2024,Q2
2024-01-01,1,346198986.13,Ene-Mar 2024,Q1
2023-01-01,4,167376014.8,Oct-Dic 2023,Q4
2023-01-01,3,133106593.41,Jul-Sept 2023,Q3
2023-01-01,2,118060280.28,Jun-Mar 2023,Q2
2033-01-01,1,104134992.81,Ene-Mar 2023,Q1
2022-01-01,4,72443482.9891497,Oct-Dic 2022,Q4
2022-01-01,3,64086784.3305304,Jul-Sept 2022,Q3
2022-01-01,2,60419500.6232803,Abr-Jun 2022,Q2
2022-01-01,1,55219313.0146503,Ene-Mar 2022,Q1
2021-01-01,4,45467887.1650125,Oct-Dic 2021,Q4
2021-01-01,3,42999944.2928225,Jul-Sept 2021,Q3
2021-01-01,2,38239666.6335425,Abr-Jun 2021,Q2
2021-01-01,1,36676371.3623924,Ene-Mar 2021,Q1
2020-01-01,4,33539702.7163118,Oct-Dic 2020,Q4
2020-01-01,3,31997444.5306992,Jul-Sept 2020,Q3
2020-01-01,2,32102475.9914636,Abr-Jun 2020,Q2
2020-01-01,1,29946216.4520491,Ene-Mar 2020,Q1
2019-01-01,4,24169250.6990153,Oct-Dic 2019,Q4
2019-01-01,3,21652748.4446425,Jul-Sept 2019,Q3
2019-01-01,2,20743117.6940061,Abr-Jun 2019,Q2
2019-01-01,1,20207413.7708524,Ene-Mar 2019,Q1
2018-01-01,4,16637686.5890096,Oct-Dic 2018,Q4
2018-01-01,3,15410980.692583,Jul-Sept 2018,Q3
2018-01-01,2,14319467.4607138,Abr-Jun 2018,Q2
2018-01-01,1,13171459.2308934,Ene-Mar 2018,Q1
2017-01-01,4,11226127.38858,Oct-Dic 2017,Q4
2017-01-01,3,10065997.86215,Jul-Sept 2017,Q3
2017-01-01,2,9678646.92829,Abr-Jun 2017,Q2
2017-01-01,1,8701201.42137,Ene-Mar 2017,Q1
2016-01-01,4,7483980.39327901,Oct-Dic 2016,Q4
2016-01-01,3,6912441.53885665,Jul-Sept 2016,Q3
2016-01-01,2,6534240.5975,Abr-Jun 2016,Q2
2016-01-01,1,5936844.8865,Ene-Mar 2016,Q1
2015-01-01,4,5376899.206,Oct-Dic 2015,Q4
2015-01-01,3,5153738.88436,Jul-Sept 2015,Q3
2015-01-01,2,4701790.71966,Abr-Jun 2015,Q2
2015-01-01,1,4876385.31507,Ene-Mar 2015,Q1
2014-01-01,4,3950440.78037,Oct-Dic 2014,Q4
2014-01-01,3,3478637.74279962,Jul-Sept 2014,Q3
2014-01-01,2,3270816.20391,Abr-Jun 2014,Q2
2014-01-01,1,2984054.20878,Ene-Mar 2014,Q1
