A̱o,Trimestre,Mbps (Media de bajada),Trimestre.1,Trimestre_Label
2024-01-01,2,139.25,Abr-Jun 2024,Q2
2024-01-01,1,139.15,Ene-Mar 2024,Q1
2023-01-01,4,139.04,Oct-Dic 2023,Q4
2023-01-01,3,129.67,Jul-Sept 2023,Q3
2023-01-01,2,123.95,Abr-Jun 2023,Q2
2023-01-01,1,110.5,Ene-Mar 2023,Q1
2022-01-01,4,106.56,Oct-Dic 2022,Q4
2022-01-01,3,62.46,Jul-Sept 2022,Q3
2022-01-01,2,58.44,Abr-Jun 2022,Q2
2022-01-01,1,55.11,Ene-Mar 2022,Q1
2021-01-01,4,52.34,Oct-Dic 2021,Q4
2021-01-01,3,48.46,Jul-Sept 2021,Q3
2021-01-01,2,45.63,Abr-Jun 2021,Q2
2021-01-01,1,43.11,Ene-Mar 2021,Q1
2020-01-01,4,42.36,Oct-Dic 2020,Q4
2020-01-01,3,40.67,Jul-Sept 2020,Q3
2020-01-01,2,38.32,Abr-Jun 2020,Q2
2020-01-01,1,37.52,Ene-Mar 2020,Q1
2019-01-01,4,28.26,Oct-Dic 2019,Q4
2019-01-01,3,24.18,Jul-Sept 2019,Q3
2019-01-01,2,20.33,Abr-Jun 2019,Q2
2019-01-01,1,17.38,Ene-Mar 2019,Q1
2018-01-01,4,15.95,Oct-Dic 2018,Q4
2018-01-01,3,15.36,Jul-Sept 2018,Q3
2018-01-01,2,13.8495399422441,Abr-Jun 2018,Q2
2018-01-01,1,13.221339833489,Ene-Mar 2018,Q1
2017-01-01,4,12.0076260812107,Oct-Dic 2017,Q4
2017-01-01,3,8.33904815764714,Jul-Sept 2017,Q3
2017-01-01,2,7.15995552367739,Abr-Jun 2017,Q2
2017-01-01,1,6.62407908134137,Ene-Mar 2017,Q1
2016-01-01,4,6.33738413446842,Oct-Dic 2016,Q4
2016-01-01,3,5.9387765869846,Jul-Sept 2016,Q3
2016-01-01,2,5.42353097512933,Abr-Jun 2016,Q2
2016-01-01,1,5.08370177629755,Ene-Mar 2016,Q1
2015-01-01,4,4.99044890054109,Oct-Dic 2015,Q4
2015-01-01,3,4.78891116867562,Jul-Sept 2015,Q3
2015-01-01,2,4.54538147818226,Abr-Jun 2015,Q2
2015-01-01,1,4.35027886167618,Ene-Mar 2015,Q1
2014-01-01,4,4.15688796190556,Oct-Dic 2014,Q4
2014-01-01,3,3.86726501227843,Jul-Sept 2014,Q3
2014-01-01,2,3.75871218894443,Abr-Jun 2014,Q2
2014-01-01,1,3.6171267670209,Ene-Mar 2014,Q1
