Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2024.0,2024Q2,Buenos Aires,214055.0,2722466.0,1849476.0,138638.0,64745.0,4989380.0
2024.0,2024Q2,Capital Federal,54102.0,1144781.0,230402.0,4493.0,29821.0,1463599.0
2024.0,2024Q2,Catamarca,4951.0,10303.0,58355.0,1384.0,81.0,75074.0
2024.0,2024Q2,Chaco,9448.0,57935.0,68944.0,8407.0,2358.0,147092.0
2024.0,2024Q2,Chubut,25955.0,80704.0,26516.0,31118.0,9930.0,174223.0
2024.0,2024Q2,Córdoba,93483.0,443091.0,477504.0,62162.0,9534.0,1085774.0
2024.0,2024Q2,Corrientes,14849.0,86226.0,39792.0,10295.0,5313.0,156475.0
2024.0,2024Q2,Entre Ríos,31335.0,158918.0,68540.0,23954.0,11564.0,294311.0
2024.0,2024Q2,Formosa,8488.0,18768.0,18977.0,16430.0,287.0,62950.0
2024.0,2024Q2,Jujuy,9509.0,51361.0,53492.0,4106.0,1216.0,119684.0
2024.0,2024Q2,La Pampa,6778.0,58647.0,37226.0,19510.0,1102.0,123263.0
2024.0,2024Q2,La Rioja,2230.0,55531.0,23294.0,6396.0,30.0,87481.0
2024.0,2024Q2,Mendoza,17671.0,66636.0,188815.0,27606.0,925.0,301653.0
2024.0,2024Q2,Misiones,20868.0,76427.0,87389.0,14968.0,6902.0,206554.0
2024.0,2024Q2,Neuquén,23553.0,72698.0,41784.0,24549.0,958.0,163542.0
2024.0,2024Q2,Río Negro,20771.0,49722.0,67636.0,18083.0,15829.0,172041.0
2024.0,2024Q2,Salta,19831.0,98511.0,64689.0,11807.0,6503.0,201341.0
2024.0,2024Q2,San Juan,12669.0,16978.0,45792.0,23594.0,6957.0,105990.0
2024.0,2024Q2,San Luis,4038.0,40063.0,34255.0,78954.0,299.0,157609.0
2024.0,2024Q2,Santa Cruz,7768.0,14134.0,49545.0,11353.0,661.0,83461.0
2024.0,2024Q2,Santa Fe,88486.0,394939.0,390090.0,44286.0,13172.0,930973.0
2024.0,2024Q2,Santiago Del Estero,5328.0,80000.0,30008.0,7058.0,2920.0,125314.0
2024.0,2024Q2,Tierra Del Fuego,9357.0,47859.0,3684.0,177.0,332.0,61409.0
2024.0,2024Q2,Tucumán,27968.0,20806.0,213753.0,3869.0,518.0,266914.0
2024.0,2024Q1,Capital Federal,70108.0,1177475.0,203756.0,4493.0,48879.0,1504711.0
2024.0,2024Q1,Catamarca,5901.0,11025.0,56542.0,1384.0,81.0,74933.0
2024.0,2024Q1,Chaco,11343.0,58929.0,64463.0,8404.0,12404.0,155543.0
2024.0,2024Q1,Chubut,26306.0,77217.0,26356.0,30867.0,9930.0,170676.0
2024.0,2024Q1,Córdoba,102812.0,449784.0,458985.0,61121.0,9497.0,1082199.0
2024.0,2024Q1,Corrientes,18390.0,85595.0,38268.0,10409.0,5232.0,157894.0
2024.0,2024Q1,Entre Ríos,36574.0,158283.0,66180.0,23950.0,11565.0,296552.0
2024.0,2024Q1,Formosa,9147.0,18631.0,17908.0,16851.0,181.0,62718.0
2024.0,2024Q1,Jujuy,10554.0,51093.0,51084.0,4106.0,1216.0,118053.0
2024.0,2024Q1,La Pampa,6844.0,59008.0,35556.0,19681.0,1106.0,122195.0
2024.0,2024Q1,La Rioja,2827.0,55443.0,23086.0,6396.0,30.0,87782.0
2024.0,2024Q1,Mendoza,17674.0,70932.0,185460.0,27606.0,925.0,302597.0
2024.0,2024Q1,Misiones,23217.0,77561.0,81498.0,13378.0,6902.0,202556.0
2024.0,2024Q1,Neuquén,24076.0,73298.0,41577.0,24387.0,908.0,164246.0
2024.0,2024Q1,Río Negro,20841.0,49727.0,66889.0,17733.0,15829.0,171019.0
2024.0,2024Q1,Salta,23858.0,99150.0,61543.0,11807.0,6503.0,202861.0
2024.0,2024Q1,San Juan,12669.0,18543.0,44904.0,23594.0,6956.0,106666.0
2024.0,2024Q1,San Luis,4038.0,41260.0,31539.0,78954.0,299.0,156090.0
2024.0,2024Q1,Santa Cruz,7768.0,14435.0,49545.0,7799.0,661.0,80208.0
2024.0,2024Q1,Santa Fe,86548.0,399817.0,374288.0,44162.0,13773.0,918588.0
2024.0,2024Q1,Santiago Del Estero,6644.0,80722.0,27018.0,7058.0,2920.0,124362.0
2024.0,2024Q1,Tierra Del Fuego,9357.0,48005.0,3684.0,177.0,332.0,61555.0
2024.0,2024Q1,Tucumán,33682.0,20361.0,205959.0,4075.0,518.0,264595.0
2023.0,2023Q4,Buenos Aires,223391.0,2797700.0,1784593.0,137993.0,67943.0,5011620.0
2023.0,2023Q4,Capital Federal,58700.0,1198835.0,182520.0,4492.0,29820.0,1474367.0
2023.0,2023Q4,Catamarca,6669.0,11016.0,55437.0,1384.0,81.0,74587.0
2023.0,2023Q4,Chaco,14000.0,60277.0,62301.0,8404.0,2404.0,147386.0
2023.0,2023Q4,Chubut,26306.0,77217.0,26174.0,30543.0,9930.0,170170.0
2023.0,2023Q4,Córdoba,115662.0,452380.0,440536.0,61862.0,8862.0,1079302.0
2023.0,2023Q4,Corrientes,21769.0,86102.0,35968.0,10402.0,5231.0,159472.0
2023.0,2023Q4,Entre Ríos,41794.0,159575.0,61667.0,24036.0,11565.0,298637.0
2023.0,2023Q4,Formosa,10252.0,18325.0,16179.0,17061.0,185.0,62002.0
2023.0,2023Q4,Jujuy,11669.0,51083.0,49947.0,4105.0,1216.0,118020.0
2023.0,2023Q4,La Pampa,6844.0,59063.0,34331.0,19982.0,1106.0,121326.0
2023.0,2023Q4,La Rioja,3296.0,55441.0,22559.0,6395.0,30.0,87721.0
2023.0,2023Q4,Mendoza,17676.0,70920.0,182220.0,27609.0,926.0,299351.0
2023.0,2023Q4,Misiones,25840.0,79000.0,75382.0,12928.0,7183.0,200333.0
2023.0,2023Q4,Neuquén,24122.0,73784.0,41583.0,24390.0,748.0,164627.0
2023.0,2023Q4,Río Negro,21192.0,49789.0,64323.0,17284.0,15829.0,168417.0
2023.0,2023Q4,Salta,26765.0,98853.0,60800.0,11806.0,6508.0,204732.0
2023.0,2023Q4,San Juan,12669.0,18543.0,42691.0,22351.0,6956.0,103210.0
2023.0,2023Q4,San Luis,4037.0,41260.0,30135.0,78954.0,299.0,154685.0
2023.0,2023Q4,Santa Cruz,7768.0,15669.0,55246.0,7687.0,661.0,87031.0
2023.0,2023Q4,Santa Fe,97004.0,398670.0,355762.0,44521.0,13544.0,909501.0
2023.0,2023Q4,Santiago Del Estero,8290.0,80692.0,24271.0,7057.0,2920.0,123230.0
2023.0,2023Q4,Tierra Del Fuego,9357.0,48071.0,3682.0,157.0,332.0,61599.0
2023.0,2023Q4,Tucumán,41318.0,20267.0,199876.0,4357.0,517.0,266335.0
2023.0,2023Q3,Buenos Aires,237705.0,2784175.0,1740239.0,137921.0,68197.0,4968237.0
2023.0,2023Q3,Capital Federal,60765.0,1205339.0,167428.0,4629.0,29823.0,1467984.0
2023.0,2023Q3,Catamarca,7164.0,11066.0,54650.0,1384.0,91.0,74355.0
2023.0,2023Q3,Chaco,16420.0,60058.0,54993.0,8267.0,2408.0,142146.0
2023.0,2023Q3,Chubut,26352.0,75460.0,25827.0,30521.0,9908.0,168068.0
2023.0,2023Q3,Córdoba,125050.0,453994.0,417338.0,62514.0,10438.0,1069334.0
2023.0,2023Q3,Corrientes,24253.0,83897.0,36032.0,10407.0,5240.0,159829.0
2023.0,2023Q3,Entre Ríos,45384.0,157464.0,54794.0,24481.0,11170.0,293293.0
2023.0,2023Q3,Formosa,11230.0,18053.0,14904.0,16899.0,228.0,61314.0
2023.0,2023Q3,Jujuy,12627.0,51082.0,48350.0,4067.0,1251.0,117377.0
2023.0,2023Q3,La Pampa,6844.0,59063.0,32891.0,20014.0,1109.0,119921.0
2023.0,2023Q3,La Rioja,3726.0,55494.0,22054.0,6395.0,32.0,87701.0
2023.0,2023Q3,Mendoza,17677.0,73066.0,178719.0,27609.0,951.0,298022.0
2023.0,2023Q3,Misiones,27934.0,79087.0,70003.0,12928.0,7183.0,197135.0
2023.0,2023Q3,Neuquén,24527.0,73329.0,39243.0,24085.0,3089.0,164273.0
2023.0,2023Q3,Río Negro,22422.0,50429.0,56668.0,16864.0,17102.0,163485.0
2023.0,2023Q3,Salta,29113.0,98324.0,59914.0,12337.0,6545.0,206233.0
2023.0,2023Q3,San Juan,12669.0,19376.0,42383.0,22317.0,6985.0,103730.0
2023.0,2023Q3,San Luis,4037.0,41624.0,24525.0,78431.0,299.0,148916.0
2023.0,2023Q3,Santa Cruz,8376.0,23931.0,11270.0,3660.0,750.0,47987.0
2023.0,2023Q3,Santa Fe,108503.0,397854.0,336013.0,44545.0,13437.0,900352.0
2023.0,2023Q3,Santiago Del Estero,9412.0,80919.0,21745.0,6916.0,2936.0,121928.0
2023.0,2023Q3,Tierra Del Fuego,9357.0,45203.0,3682.0,157.0,332.0,58731.0
2023.0,2023Q3,Tucumán,46348.0,20545.0,195053.0,4088.0,523.0,266557.0
2023.0,2023Q2,Buenos Aires,265537.0,2766463.0,1645945.0,138405.0,69138.0,4885488.0
2023.0,2023Q2,Capital Federal,68348.0,1218631.0,136295.0,4504.0,29900.0,1457678.0
2023.0,2023Q2,Catamarca,7637.0,10700.0,53177.0,1384.0,92.0,72990.0
2023.0,2023Q2,Chaco,19115.0,59944.0,51955.0,8267.0,2574.0,141855.0
2023.0,2023Q2,Chubut,33702.0,73689.0,16111.0,30521.0,9938.0,163961.0
2023.0,2023Q2,Córdoba,129303.0,453924.0,411703.0,62391.0,10430.0,1067751.0
2023.0,2023Q2,Corrientes,26821.0,82977.0,32834.0,10407.0,5255.0,158294.0
2023.0,2023Q2,Entre Ríos,46503.0,142562.0,49251.0,24461.0,11170.0,273947.0
2023.0,2023Q2,Formosa,11934.0,17678.0,13698.0,16813.0,227.0,60350.0
2023.0,2023Q2,Jujuy,13749.0,51082.0,47289.0,4067.0,1255.0,117442.0
2023.0,2023Q2,La Pampa,7254.0,59101.0,31449.0,19993.0,1113.0,118910.0
2023.0,2023Q2,La Rioja,4152.0,55148.0,21245.0,6395.0,32.0,86972.0
2023.0,2023Q2,Mendoza,25299.0,71931.0,171857.0,27609.0,980.0,297676.0
2023.0,2023Q2,Misiones,28897.0,82058.0,64406.0,12927.0,7183.0,195471.0
2023.0,2023Q2,Neuquén,26379.0,73040.0,35171.0,24046.0,3110.0,161746.0
2023.0,2023Q2,Río Negro,26390.0,49684.0,53325.0,16864.0,17116.0,163379.0
2023.0,2023Q2,Salta,30666.0,97501.0,58275.0,12337.0,6549.0,205328.0
2023.0,2023Q2,San Juan,21483.0,20200.0,25217.0,23545.0,7004.0,97449.0
2023.0,2023Q2,San Luis,4937.0,41949.0,15595.0,77960.0,307.0,140748.0
2023.0,2023Q2,Santa Cruz,9019.0,23896.0,11269.0,3660.0,758.0,48602.0
2023.0,2023Q2,Santa Fe,126344.0,399669.0,311166.0,44134.0,14501.0,895814.0
2023.0,2023Q2,Santiago Del Estero,10629.0,80086.0,17244.0,6916.0,2934.0,117809.0
2023.0,2023Q2,Tierra Del Fuego,12392.0,45224.0,525.0,157.0,337.0,58635.0
2023.0,2023Q2,Tucumán,50019.0,20012.0,188986.0,4060.0,525.0,263602.0
2023.0,2023Q1,Buenos Aires,304583.0,2761043.0,1551074.0,132458.0,71770.0,4820928.0
2023.0,2023Q1,Capital Federal,132149.0,1223930.0,156222.0,4605.0,31823.0,1548729.0
2023.0,2023Q1,Catamarca,6980.0,10655.0,50230.0,1384.0,2243.0,71492.0
2023.0,2023Q1,Chaco,21243.0,60727.0,49756.0,8142.0,2574.0,142442.0
2023.0,2023Q1,Chubut,45448.0,73525.0,9815.0,30521.0,10744.0,170053.0
2023.0,2023Q1,Córdoba,136976.0,455139.0,386297.0,61066.0,10494.0,1049972.0
2023.0,2023Q1,Corrientes,29577.0,81116.0,30016.0,11071.0,5240.0,157020.0
2023.0,2023Q1,Entre Ríos,51084.0,141699.0,44508.0,26415.0,11172.0,274878.0
2023.0,2023Q1,Formosa,12502.0,17421.0,13345.0,17490.0,227.0,60985.0
2023.0,2023Q1,Jujuy,15306.0,51082.0,46271.0,4067.0,1255.0,117981.0
2023.0,2023Q1,La Pampa,7049.0,59944.0,28126.0,20103.0,1282.0,116504.0
2023.0,2023Q1,La Rioja,4652.0,54604.0,20722.0,6395.0,32.0,86405.0
2023.0,2023Q1,Mendoza,37646.0,73678.0,152534.0,27592.0,1569.0,293019.0
2023.0,2023Q1,Misiones,30455.0,82834.0,56619.0,12896.0,7881.0,190685.0
2023.0,2023Q1,Neuquén,28030.0,72639.0,32296.0,23937.0,3510.0,160412.0
2023.0,2023Q1,Río Negro,33604.0,49128.0,45329.0,16857.0,19413.0,164331.0
2023.0,2023Q1,Salta,33427.0,96922.0,56259.0,12269.0,6549.0,205426.0
2023.0,2023Q1,San Juan,38568.0,21215.0,12798.0,21912.0,7274.0,101767.0
2023.0,2023Q1,San Luis,6283.0,42789.0,6952.0,78954.0,485.0,135463.0
2023.0,2023Q1,Santa Cruz,9702.0,23839.0,12217.0,3660.0,943.0,50361.0
2023.0,2023Q1,Santa Fe,138935.0,405618.0,283988.0,43487.0,14246.0,886274.0
2023.0,2023Q1,Santiago Del Estero,11642.0,80407.0,16656.0,6916.0,2934.0,118555.0
2023.0,2023Q1,Tierra Del Fuego,12754.0,43146.0,405.0,157.0,651.0,57113.0
2023.0,2023Q1,Tucumán,55822.0,19482.0,180976.0,4293.0,527.0,261100.0
2022.0,2022Q4,Buenos Aires,325908.0,2767247.0,1499149.0,129910.0,72451.0,4794665.0
2022.0,2022Q4,Capital Federal,138753.0,1238196.0,138548.0,4603.0,31826.0,1551926.0
2022.0,2022Q4,Catamarca,8952.0,10998.0,47337.0,1379.0,2243.0,70909.0
2022.0,2022Q4,Chaco,24582.0,61265.0,47285.0,7957.0,2574.0,143663.0
2022.0,2022Q4,Chubut,45450.0,73923.0,9815.0,30721.0,8850.0,168759.0
2022.0,2022Q4,Córdoba,152265.0,456947.0,367393.0,61631.0,11424.0,1049660.0
2022.0,2022Q4,Corrientes,34038.0,80283.0,26752.0,9082.0,5298.0,155453.0
2022.0,2022Q4,Entre Ríos,55507.0,135746.0,40798.0,26414.0,12509.0,270974.0
2022.0,2022Q4,Formosa,13735.0,17068.0,13118.0,17692.0,227.0,61840.0
2022.0,2022Q4,Jujuy,17880.0,52390.0,42626.0,4067.0,1255.0,118218.0
2022.0,2022Q4,La Pampa,7785.0,60566.0,24552.0,19995.0,1266.0,114164.0
2022.0,2022Q4,La Rioja,6120.0,54387.0,19328.0,6395.0,32.0,86262.0
2022.0,2022Q4,Mendoza,37655.0,77814.0,147080.0,27607.0,1948.0,292104.0
2022.0,2022Q4,Misiones,33204.0,87202.0,46885.0,11075.0,7903.0,186269.0
2022.0,2022Q4,Neuquén,28609.0,72679.0,31567.0,23815.0,3510.0,160180.0
2022.0,2022Q4,Río Negro,34043.0,48401.0,43958.0,16277.0,19413.0,162092.0
2022.0,2022Q4,Salta,36939.0,97023.0,53470.0,11884.0,6544.0,205860.0
2022.0,2022Q4,San Juan,38570.0,22913.0,12491.0,21912.0,7940.0,103826.0
2022.0,2022Q4,San Luis,6283.0,43460.0,3409.0,81557.0,511.0,135220.0
2022.0,2022Q4,Santa Cruz,9702.0,23876.0,12217.0,3746.0,662.0,50203.0
2022.0,2022Q4,Santa Fe,163621.0,412157.0,248558.0,44113.0,19242.0,887691.0
2022.0,2022Q4,Santiago Del Estero,13577.0,80955.0,15117.0,6911.0,2934.0,119494.0
2022.0,2022Q4,Tierra Del Fuego,12754.0,41293.0,405.0,157.0,651.0,55260.0
2022.0,2022Q4,Tucumán,69441.0,20668.0,168717.0,4069.0,527.0,263422.0
2022.0,2022Q3,Buenos Aires,339648.0,2748325.0,1436433.0,126846.0,70416.0,4721668.0
2022.0,2022Q3,Capital Federal,140791.0,1240125.0,129218.0,5758.0,31787.0,1547679.0
2022.0,2022Q3,Catamarca,10010.0,10495.0,46224.0,1329.0,2235.0,70293.0
2022.0,2022Q3,Chaco,27164.0,61800.0,44645.0,8178.0,2359.0,144146.0
2022.0,2022Q3,Chubut,45377.0,72212.0,9574.0,29784.0,8831.0,165778.0
2022.0,2022Q3,Córdoba,163770.0,465461.0,338570.0,61070.0,9797.0,1038668.0
2022.0,2022Q3,Corrientes,36508.0,77140.0,18619.0,7256.0,5323.0,144846.0
2022.0,2022Q3,Entre Ríos,60345.0,132952.0,36971.0,26098.0,12593.0,268959.0
2022.0,2022Q3,Formosa,14470.0,25880.0,11041.0,16935.0,212.0,68538.0
2022.0,2022Q3,Jujuy,19257.0,52978.0,40172.0,4033.0,2383.0,118823.0
2022.0,2022Q3,La Pampa,7796.0,60078.0,23551.0,20216.0,4451.0,116092.0
2022.0,2022Q3,La Rioja,6842.0,53899.0,19697.0,6395.0,31.0,86864.0
2022.0,2022Q3,Mendoza,37659.0,78858.0,142615.0,27625.0,2766.0,289523.0
2022.0,2022Q3,Misiones,35513.0,88902.0,39046.0,11074.0,7622.0,182157.0
2022.0,2022Q3,Neuquén,29352.0,75815.0,29396.0,27482.0,1116.0,163161.0
2022.0,2022Q3,Río Negro,35552.0,48260.0,41017.0,16760.0,18969.0,160558.0
2022.0,2022Q3,Salta,40006.0,96984.0,50254.0,10082.0,7215.0,204541.0
2022.0,2022Q3,San Juan,38570.0,22723.0,12328.0,21860.0,7918.0,103399.0
2022.0,2022Q3,San Luis,6860.0,29363.0,248.0,70614.0,14985.0,122070.0
2022.0,2022Q3,Santa Cruz,10170.0,24047.0,10815.0,3896.0,582.0,49510.0
2022.0,2022Q3,Santa Fe,183740.0,426255.0,215189.0,43079.0,19547.0,887810.0
2022.0,2022Q3,Santiago Del Estero,15385.0,80937.0,13170.0,6618.0,2922.0,119032.0
2022.0,2022Q3,Tierra Del Fuego,12754.0,39963.0,403.0,125.0,651.0,53896.0
2022.0,2022Q3,Tucumán,77738.0,18518.0,162345.0,3997.0,519.0,263117.0
2022.0,2022Q2,Buenos Aires,350652.0,2719613.0,1399043.0,126847.0,71028.0,4667183.0
2022.0,2022Q2,Capital Federal,145491.0,1232226.0,121506.0,5757.0,31791.0,1536771.0
2022.0,2022Q2,Catamarca,11928.0,9430.0,42087.0,1329.0,2234.0,67008.0
2022.0,2022Q2,Chaco,29552.0,61284.0,42194.0,8178.0,2356.0,143564.0
2022.0,2022Q2,Chubut,45377.0,69242.0,9574.0,29784.0,8828.0,162805.0
2022.0,2022Q2,Córdoba,179181.0,467595.0,308895.0,61107.0,9657.0,1026435.0
2022.0,2022Q2,Corrientes,38468.0,75769.0,18181.0,7256.0,5323.0,144997.0
2022.0,2022Q2,Entre Ríos,63794.0,131029.0,35839.0,26098.0,12592.0,269352.0
2022.0,2022Q2,Formosa,15397.0,25487.0,9875.0,16910.0,212.0,67881.0
2022.0,2022Q2,Jujuy,20303.0,54495.0,34184.0,3955.0,2377.0,115314.0
2022.0,2022Q2,La Pampa,7796.0,59273.0,22994.0,20200.0,1264.0,111527.0
2022.0,2022Q2,La Rioja,7759.0,52656.0,19189.0,6395.0,31.0,86030.0
2022.0,2022Q2,Mendoza,37663.0,77504.0,135504.0,26964.0,1927.0,279562.0
2022.0,2022Q2,Misiones,37208.0,89260.0,33649.0,11074.0,7622.0,178813.0
2022.0,2022Q2,Neuquén,29749.0,74905.0,28824.0,27371.0,1119.0,161968.0
2022.0,2022Q2,Río Negro,36050.0,47040.0,40946.0,16760.0,18968.0,159764.0
2022.0,2022Q2,Salta,42665.0,96178.0,47076.0,10068.0,7190.0,203177.0
2022.0,2022Q2,San Juan,38570.0,19734.0,12328.0,21859.0,7916.0,100407.0
2022.0,2022Q2,San Luis,6860.0,29034.0,248.0,70614.0,14985.0,121741.0
2022.0,2022Q2,Santa Cruz,10170.0,23725.0,10815.0,3896.0,579.0,49185.0
2022.0,2022Q2,Santa Fe,198492.0,428233.0,189503.0,43081.0,19550.0,878859.0
2022.0,2022Q2,Santiago Del Estero,16561.0,80338.0,11605.0,6618.0,2922.0,118044.0
2022.0,2022Q2,Tierra Del Fuego,12754.0,39837.0,403.0,125.0,651.0,53770.0
2022.0,2022Q2,Tucumán,85893.0,15327.0,148823.0,3997.0,487.0,254527.0
2022.0,2022Q1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4555424.0
2022.0,2022Q1,Capital Federal,102290.0,1217225.0,62308.0,5784.0,29934.0,1417541.0
2022.0,2022Q1,Catamarca,14181.0,15517.0,29118.0,1328.0,2234.0,62378.0
2022.0,2022Q1,Chaco,32391.0,64546.0,36662.0,8164.0,2356.0,144119.0
2022.0,2022Q1,Chubut,44133.0,66667.0,9184.0,30592.0,21052.0,171628.0
2022.0,2022Q1,Córdoba,195610.0,501799.0,235838.0,60843.0,9713.0,1003803.0
2022.0,2022Q1,Corrientes,40462.0,79093.0,10875.0,6774.0,5374.0,142578.0
2022.0,2022Q1,Entre Ríos,67159.0,138986.0,23091.0,26098.0,12592.0,267926.0
2022.0,2022Q1,Formosa,16397.0,15927.0,5146.0,16876.0,202.0,54548.0
2022.0,2022Q1,Jujuy,21307.0,60616.0,25949.0,4662.0,3975.0,116509.0
2022.0,2022Q1,La Pampa,8003.0,58978.0,21739.0,19903.0,1109.0,109732.0
2022.0,2022Q1,La Rioja,9103.0,59228.0,9546.0,6395.0,31.0,84303.0
2022.0,2022Q1,Mendoza,49464.0,74145.0,123228.0,26969.0,1379.0,275185.0
2022.0,2022Q1,Misiones,39147.0,91752.0,25178.0,7807.0,7624.0,171508.0
2022.0,2022Q1,Neuquén,28443.0,73200.0,24193.0,23098.0,745.0,149679.0
2022.0,2022Q1,Río Negro,38662.0,45366.0,38037.0,16815.0,18494.0,157374.0
2022.0,2022Q1,Salta,44714.0,98667.0,40994.0,5950.0,7190.0,197515.0
2022.0,2022Q1,San Juan,34038.0,14449.0,11294.0,20723.0,7674.0,88178.0
2022.0,2022Q1,San Luis,7987.0,11296.0,31.0,71809.0,28721.0,119844.0
2022.0,2022Q1,Santa Cruz,10537.0,23420.0,10766.0,3974.0,405.0,49102.0
2022.0,2022Q1,Santa Fe,213486.0,444609.0,146552.0,45261.0,20571.0,870479.0
2022.0,2022Q1,Santiago Del Estero,18118.0,87979.0,1093.0,6349.0,2922.0,116461.0
2022.0,2022Q1,Tierra Del Fuego,13031.0,38700.0,416.0,124.0,340.0,52611.0
2022.0,2022Q1,Tucumán,92532.0,62396.0,86174.0,3995.0,487.0,245584.0
2021.0,2021Q4,Buenos Aires,426325.0,2706506.0,1176024.0,126887.0,73415.0,4509157.0
2021.0,2021Q4,Capital Federal,111360.0,1205128.0,60005.0,5679.0,29947.0,1412119.0
2021.0,2021Q4,Catamarca,16385.0,13858.0,25100.0,1512.0,2235.0,59090.0
2021.0,2021Q4,Chaco,35548.0,63145.0,34688.0,8005.0,2359.0,143745.0
2021.0,2021Q4,Chubut,46361.0,57412.0,9655.0,28041.0,18839.0,160308.0
2021.0,2021Q4,Córdoba,212011.0,487489.0,217214.0,61277.0,8779.0,986770.0
2021.0,2021Q4,Corrientes,42523.0,71183.0,10138.0,6778.0,5290.0,135912.0
2021.0,2021Q4,Entre Ríos,70459.0,133387.0,23452.0,25022.0,12726.0,265046.0
2021.0,2021Q4,Formosa,17211.0,15111.0,5151.0,16018.0,172.0,53663.0
2021.0,2021Q4,Jujuy,22330.0,60511.0,24156.0,2927.0,3991.0,113915.0
2021.0,2021Q4,La Pampa,8175.0,58000.0,20192.0,19286.0,1354.0,107007.0
2021.0,2021Q4,La Rioja,10387.0,56651.0,9446.0,6613.0,31.0,83128.0
2021.0,2021Q4,Mendoza,59842.0,71553.0,109667.0,24666.0,1859.0,267587.0
2021.0,2021Q4,Misiones,41778.0,92068.0,22035.0,7649.0,7602.0,171132.0
2021.0,2021Q4,Neuquén,29175.0,72761.0,23253.0,21531.0,746.0,147466.0
2021.0,2021Q4,Río Negro,42037.0,44495.0,32212.0,16558.0,18451.0,153753.0
2021.0,2021Q4,Salta,46972.0,99808.0,39555.0,5882.0,7188.0,199405.0
2021.0,2021Q4,San Juan,35868.0,13102.0,11072.0,11423.0,8493.0,79958.0
2021.0,2021Q4,San Luis,8472.0,11064.0,30.0,70560.0,28723.0,118849.0
2021.0,2021Q4,Santa Cruz,10790.0,22902.0,10031.0,4346.0,417.0,48486.0
2021.0,2021Q4,Santa Fe,233427.0,444373.0,128856.0,43556.0,16229.0,866441.0
2021.0,2021Q4,Santiago Del Estero,19032.0,86563.0,1088.0,6256.0,2922.0,115861.0
2021.0,2021Q4,Tierra Del Fuego,13317.0,38148.0,426.0,124.0,342.0,52357.0
2021.0,2021Q4,Tucumán,97830.0,59022.0,78790.0,2511.0,486.0,238639.0
2021.0,2021Q3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0
2021.0,2021Q3,Capital Federal,142902.0,1192107.0,42966.0,6059.0,29371.0,1413405.0
2021.0,2021Q3,Catamarca,18413.0,11709.0,22331.0,1568.0,2233.0,56254.0
2021.0,2021Q3,Chaco,38258.0,63659.0,27583.0,8018.0,2353.0,139871.0
2021.0,2021Q3,Chubut,49269.0,55794.0,8946.0,23376.0,18681.0,156066.0
2021.0,2021Q3,Córdoba,229275.0,477223.0,167495.0,57617.0,15178.0,946788.0
2021.0,2021Q3,Corrientes,44805.0,69403.0,7542.0,6766.0,5303.0,133819.0
2021.0,2021Q3,Entre Ríos,74443.0,128752.0,20485.0,23500.0,13195.0,260375.0
