A̱o,Trimestre,Banda ancha fija,Dial up,Total,Periodo
1970,2,11544314,11793,11556107,Abr-Jun 2024
1970,1,11621363,11793,11633156,Ene-Mar 2024
1970,4,11535868,11793,11547661,Oct-Dic 2023
1970,3,11395115,11793,11406908,Jul-Sept 2023
1970,2,11239781,12116,11251897,Abr-Jun 2023
1970,1,11229459,12436,11241895,Ene-Mar 2023
1970,4,11195668,12446,11208114,Oct-Dic 2022
1970,3,11078691,12437,11091128,Jul-Sept 2022
1970,2,10946248,12436,10958684,Abr-Jun 2022
1970,1,10611390,12619,10624009,Ene-Mar 2022
1970,4,10476933,12861,10489794,Oct-Dic 2021
1970,3,10075184,10357,10085541,Jul-Sept 2021
1970,2,9852702,10382,9863084,Abr-Jun 2021
1970,1,9637956,10016,9647972,Ene-Mar 2021
1970,4,9561546,10016,9571562,Oct-Dic 2020
1970,3,9346183,10016,9356199,Jul-Sept 2020
1970,2,9021040,10016,9031056,Abr-Jun 2020
1970,1,8802435,9991,8812426,Ene-Mar 2020
1970,4,8783053,10128,8793181,Oct-Dic 2019
1970,3,9142891,21793,9164684,Jul-Sept 2019
1970,2,8938427,21754,8960181,Abr-Jun 2019
1970,1,8626323,21812,8648135,Ene-Mar 2019
1970,4,8451841,21814,8473655,Oct-Dic 2018
1970,3,8320223,26812,8347035,Jul-Sept 2018
1970,2,8083533,26911,8110444,Abr-Jun 2018
1970,1,8009981,27072,8037053,Ene-Mar 2018
1970,4,7842778,27444,7870222,Oct-Dic 2017
1970,3,7696594,28349,7724943,Jul-Sept 2017
1970,2,7401134,28530,7429664,Abr-Jun 2017
1970,1,7277314,28540,7305854,Ene-Mar 2017
1970,4,7223128,28545,7251673,Oct-Dic 2016
1970,3,7178340,28610,7206950,Jul-Sept 2016
1970,2,7097604,32475,7130079,Abr-Jun 2016
1970,1,6874704,32652,6907356,Ene-Mar 2016
1970,4,6952289,32542,6984831,Oct-Dic 2015
1970,3,6902267,32801,6935068,Jul-Sept 2015
1970,2,6783279,32909,6816188,Abr-Jun 2015
1970,1,6699714,38018,6737732,Ene-Mar 2015
1970,4,6559172,39324,6598496,Oct-Dic 2014
1970,3,6559264,36007,6595271,Jul-Sept 2014
1970,2,6428329,36139,6464468,Abr-Jun 2014
1970,1,6362108,36290,6398398,Ene-Mar 2014
