Año,Trimestre,Provincia,Mbps (Media de bajada),Incremento_Velocidad,Trimestre_Label
1970,2,BUENOS AIRES,157,,Q2
1970,2,CABA,233,,Q2
1970,2,CATAMARCA,97,,Q2
1970,2,CHACO,107,,Q2
1970,2,CHUBUT,21,,Q2
1970,2,CÓRDOBA,117,,Q2
1970,2,CORRIENTES,104,,Q2
1970,2,ENTRE RÍOS,100,,Q2
1970,2,FORMOSA,82,,Q2
1970,2,JUJUY,49,,Q2
1970,2,LA PAMPA,28,,Q2
1970,2,LA RIOJA,64,,Q2
1970,2,MENDOZA,55,,Q2
1970,2,MISIONES,96,,Q2
1970,2,NEUQUÉN,97,,Q2
1970,2,RÍO NEGRO,75,,Q2
1970,2,SALTA,87,,Q2
1970,2,SAN JUAN,32,,Q2
1970,2,SAN LUIS,181,,Q2
1970,2,SANTA CRUZ,29,,Q2
1970,2,SANTA FE,102,,Q2
1970,2,SANTIAGO DEL ESTERO,48,,Q2
1970,2,TIERRA DEL FUEGO,22,,Q2
1970,2,TUCUMÁN,108,,Q2
1970,1,BUENOS AIRES,159,2.0,Q1
1970,1,CABA,229,-4.0,Q1
1970,1,CATAMARCA,91,-6.0,Q1
1970,1,CHACO,107,0.0,Q1
1970,1,CHUBUT,20,-1.0,Q1
1970,1,CÓRDOBA,114,-3.0,Q1
1970,1,CORRIENTES,102,-2.0,Q1
1970,1,ENTRE RÍOS,101,1.0,Q1
1970,1,FORMOSA,83,1.0,Q1
1970,1,JUJUY,47,-2.0,Q1
1970,1,LA PAMPA,26,-2.0,Q1
1970,1,LA RIOJA,63,-1.0,Q1
1970,1,MENDOZA,51,-4.0,Q1
1970,1,MISIONES,94,-2.0,Q1
1970,1,NEUQUÉN,98,1.0,Q1
1970,1,RÍO NEGRO,75,0.0,Q1
1970,1,SALTA,84,-3.0,Q1
1970,1,SAN JUAN,30,-2.0,Q1
1970,1,SAN LUIS,179,-2.0,Q1
1970,1,SANTA CRUZ,31,2.0,Q1
1970,1,SANTA FE,100,-2.0,Q1
1970,1,SANTIAGO DEL ESTERO,44,-4.0,Q1
1970,1,TIERRA DEL FUEGO,21,-1.0,Q1
1970,1,TUCUMÁN,103,-5.0,Q1
1970,4,BUENOS AIRES,158,-1.0,Q4
1970,4,CABA,234,5.0,Q4
1970,4,CATAMARCA,89,-2.0,Q4
1970,4,CHACO,107,0.0,Q4
1970,4,CHUBUT,20,0.0,Q4
1970,4,CÓRDOBA,114,0.0,Q4
1970,4,CORRIENTES,100,-2.0,Q4
1970,4,ENTRE RÍOS,101,0.0,Q4
1970,4,FORMOSA,83,0.0,Q4
1970,4,JUJUY,46,-1.0,Q4
1970,4,LA PAMPA,25,-1.0,Q4
1970,4,LA RIOJA,64,1.0,Q4
1970,4,MENDOZA,49,-2.0,Q4
1970,4,MISIONES,93,-1.0,Q4
1970,4,NEUQUÉN,99,1.0,Q4
1970,4,RÍO NEGRO,74,-1.0,Q4
1970,4,SALTA,83,-1.0,Q4
1970,4,SAN JUAN,24,-6.0,Q4
1970,4,SAN LUIS,174,-5.0,Q4
1970,4,SANTA CRUZ,36,5.0,Q4
1970,4,SANTA FE,99,-1.0,Q4
1970,4,SANTIAGO DEL ESTERO,44,0.0,Q4
1970,4,TIERRA DEL FUEGO,17,-4.0,Q4
1970,4,TUCUMÁN,101,-2.0,Q4
1970,3,BUENOS AIRES,146,-12.0,Q3
1970,3,CABA,218,-16.0,Q3
1970,3,CATAMARCA,87,-2.0,Q3
1970,3,CHACO,107,0.0,Q3
1970,3,CHUBUT,19,-1.0,Q3
1970,3,CÓRDOBA,111,-3.0,Q3
1970,3,CORRIENTES,99,-1.0,Q3
1970,3,ENTRE RÍOS,96,-5.0,Q3
1970,3,FORMOSA,80,-3.0,Q3
1970,3,JUJUY,44,-2.0,Q3
1970,3,LA PAMPA,24,-1.0,Q3
1970,3,LA RIOJA,63,-1.0,Q3
1970,3,MENDOZA,46,-3.0,Q3
1970,3,MISIONES,91,-2.0,Q3
1970,3,NEUQUÉN,96,-3.0,Q3
1970,3,RÍO NEGRO,70,-4.0,Q3
1970,3,SALTA,80,-3.0,Q3
1970,3,SAN JUAN,24,0.0,Q3
1970,3,SAN LUIS,104,-70.0,Q3
1970,3,SANTA CRUZ,15,-21.0,Q3
1970,3,SANTA FE,97,-2.0,Q3
1970,3,SANTIAGO DEL ESTERO,41,-3.0,Q3
1970,3,TIERRA DEL FUEGO,17,0.0,Q3
1970,3,TUCUMÁN,98,-3.0,Q3
1970,2,BUENOS AIRES,138,-8.0,Q2
1970,2,CABA,208,-10.0,Q2
1970,2,CATAMARCA,86,-1.0,Q2
1970,2,CHACO,105,-2.0,Q2
1970,2,CHUBUT,18,-1.0,Q2
1970,2,CÓRDOBA,111,0.0,Q2
1970,2,CORRIENTES,97,-2.0,Q2
1970,2,ENTRE RÍOS,89,-7.0,Q2
1970,2,FORMOSA,77,-3.0,Q2
1970,2,JUJUY,43,-1.0,Q2
1970,2,LA PAMPA,22,-2.0,Q2
1970,2,LA RIOJA,63,0.0,Q2
1970,2,MENDOZA,42,-4.0,Q2
1970,2,MISIONES,90,-1.0,Q2
1970,2,NEUQUÉN,93,-3.0,Q2
1970,2,RÍO NEGRO,70,0.0,Q2
1970,2,SALTA,79,-1.0,Q2
1970,2,SAN JUAN,20,-4.0,Q2
1970,2,SAN LUIS,103,-1.0,Q2
1970,2,SANTA CRUZ,15,0.0,Q2
1970,2,SANTA FE,94,-3.0,Q2
1970,2,SANTIAGO DEL ESTERO,37,-4.0,Q2
1970,2,TIERRA DEL FUEGO,16,-1.0,Q2
1970,2,TUCUMÁN,96,-2.0,Q2
1970,1,BUENOS AIRES,116,-22.0,Q1
1970,1,CABA,188,-20.0,Q1
1970,1,CATAMARCA,87,1.0,Q1
1970,1,CHACO,104,-1.0,Q1
1970,1,CHUBUT,18,0.0,Q1
1970,1,CÓRDOBA,109,-2.0,Q1
1970,1,CORRIENTES,94,-3.0,Q1
1970,1,ENTRE RÍOS,86,-3.0,Q1
1970,1,FORMOSA,73,-4.0,Q1
1970,1,JUJUY,42,-1.0,Q1
1970,1,LA PAMPA,20,-2.0,Q1
1970,1,LA RIOJA,63,0.0,Q1
1970,1,MENDOZA,41,-1.0,Q1
1970,1,MISIONES,89,-1.0,Q1
1970,1,NEUQUÉN,93,0.0,Q1
1970,1,RÍO NEGRO,74,4.0,Q1
1970,1,SALTA,76,-3.0,Q1
1970,1,SAN JUAN,18,-2.0,Q1
1970,1,SAN LUIS,55,-48.0,Q1
1970,1,SANTA CRUZ,14,-1.0,Q1
1970,1,SANTA FE,92,-2.0,Q1
1970,1,SANTIAGO DEL ESTERO,36,-1.0,Q1
1970,1,TIERRA DEL FUEGO,14,-2.0,Q1
1970,1,TUCUMÁN,95,-1.0,Q1
1970,4,BUENOS AIRES,111,-5.0,Q4
1970,4,CABA,182,-6.0,Q4
1970,4,CATAMARCA,83,-4.0,Q4
1970,4,CHACO,104,0.0,Q4
1970,4,CHUBUT,15,-3.0,Q4
1970,4,CÓRDOBA,108,-1.0,Q4
1970,4,CORRIENTES,94,0.0,Q4
1970,4,ENTRE RÍOS,87,1.0,Q4
1970,4,FORMOSA,72,-1.0,Q4
1970,4,JUJUY,39,-3.0,Q4
1970,4,LA PAMPA,19,-1.0,Q4
1970,4,LA RIOJA,61,-2.0,Q4
1970,4,MENDOZA,38,-3.0,Q4
1970,4,MISIONES,91,2.0,Q4
1970,4,NEUQUÉN,95,2.0,Q4
1970,4,RÍO NEGRO,75,1.0,Q4
1970,4,SALTA,75,-1.0,Q4
1970,4,SAN JUAN,16,-2.0,Q4
1970,4,SAN LUIS,30,-25.0,Q4
1970,4,SANTA CRUZ,14,0.0,Q4
1970,4,SANTA FE,90,-2.0,Q4
1970,4,SANTIAGO DEL ESTERO,34,-2.0,Q4
1970,4,TIERRA DEL FUEGO,13,-1.0,Q4
1970,4,TUCUMÁN,88,-7.0,Q4
1970,3,BUENOS AIRES,70,-41.0,Q3
1970,3,CABA,101,-81.0,Q3
1970,3,CATAMARCA,60,-23.0,Q3
1970,3,CHACO,53,-51.0,Q3
1970,3,CHUBUT,15,0.0,Q3
1970,3,CÓRDOBA,56,-52.0,Q3
1970,3,CORRIENTES,45,-49.0,Q3
1970,3,ENTRE RÍOS,42,-45.0,Q3
1970,3,FORMOSA,30,-42.0,Q3
1970,3,JUJUY,32,-7.0,Q3
1970,3,LA PAMPA,18,-1.0,Q3
1970,3,LA RIOJA,44,-17.0,Q3
1970,3,MENDOZA,34,-4.0,Q3
1970,3,MISIONES,49,-42.0,Q3
1970,3,NEUQUÉN,47,-48.0,Q3
1970,3,RÍO NEGRO,34,-41.0,Q3
1970,3,SALTA,41,-34.0,Q3
1970,3,SAN JUAN,15,-1.0,Q3
1970,3,SAN LUIS,19,-11.0,Q3
1970,3,SANTA CRUZ,12,-2.0,Q3
1970,3,SANTA FE,45,-45.0,Q3
1970,3,SANTIAGO DEL ESTERO,17,-17.0,Q3
1970,3,TIERRA DEL FUEGO,11,-2.0,Q3
1970,3,TUCUMÁN,53,-35.0,Q3
1970,2,BUENOS AIRES,65,-5.0,Q2
1970,2,CABA,93,-8.0,Q2
1970,2,CATAMARCA,56,-4.0,Q2
1970,2,CHACO,50,-3.0,Q2
1970,2,CHUBUT,14,-1.0,Q2
1970,2,CÓRDOBA,53,-3.0,Q2
1970,2,CORRIENTES,43,-2.0,Q2
1970,2,ENTRE RÍOS,40,-2.0,Q2
1970,2,FORMOSA,28,-2.0,Q2
1970,2,JUJUY,29,-3.0,Q2
1970,2,LA PAMPA,16,-2.0,Q2
1970,2,LA RIOJA,43,-1.0,Q2
1970,2,MENDOZA,29,-5.0,Q2
1970,2,MISIONES,46,-3.0,Q2
1970,2,NEUQUÉN,46,-1.0,Q2
1970,2,RÍO NEGRO,33,-1.0,Q2
1970,2,SALTA,38,-3.0,Q2
1970,2,SAN JUAN,14,-1.0,Q2
1970,2,SAN LUIS,19,0.0,Q2
1970,2,SANTA CRUZ,11,-1.0,Q2
1970,2,SANTA FE,42,-3.0,Q2
1970,2,SANTIAGO DEL ESTERO,16,-1.0,Q2
1970,2,TIERRA DEL FUEGO,10,-1.0,Q2
1970,2,TUCUMÁN,50,-3.0,Q2
1970,1,BUENOS AIRES,62,-3.0,Q1
1970,1,CABA,88,-5.0,Q1
1970,1,CATAMARCA,51,-5.0,Q1
1970,1,CHACO,45,-5.0,Q1
1970,1,CHUBUT,13,-1.0,Q1
1970,1,CÓRDOBA,49,-4.0,Q1
1970,1,CORRIENTES,38,-5.0,Q1
1970,1,ENTRE RÍOS,35,-5.0,Q1
1970,1,FORMOSA,30,2.0,Q1
1970,1,JUJUY,27,-2.0,Q1
1970,1,LA PAMPA,14,-2.0,Q1
1970,1,LA RIOJA,41,-2.0,Q1
1970,1,MENDOZA,26,-3.0,Q1
1970,1,MISIONES,41,-5.0,Q1
1970,1,NEUQUÉN,43,-3.0,Q1
1970,1,RÍO NEGRO,31,-2.0,Q1
1970,1,SALTA,36,-2.0,Q1
1970,1,SAN JUAN,11,-3.0,Q1
1970,1,SAN LUIS,20,1.0,Q1
1970,1,SANTA CRUZ,10,-1.0,Q1
1970,1,SANTA FE,38,-4.0,Q1
1970,1,SANTIAGO DEL ESTERO,14,-2.0,Q1
1970,1,TIERRA DEL FUEGO,10,0.0,Q1
1970,1,TUCUMÁN,47,-3.0,Q1
1970,4,BUENOS AIRES,60,-2.0,Q4
1970,4,CABA,82,-6.0,Q4
1970,4,CATAMARCA,46,-5.0,Q4
1970,4,CHACO,42,-3.0,Q4
1970,4,CHUBUT,9,-4.0,Q4
1970,4,CÓRDOBA,46,-3.0,Q4
1970,4,CORRIENTES,35,-3.0,Q4
1970,4,ENTRE RÍOS,33,-2.0,Q4
1970,4,FORMOSA,28,-2.0,Q4
1970,4,JUJUY,27,0.0,Q4
1970,4,LA PAMPA,13,-1.0,Q4
1970,4,LA RIOJA,39,-2.0,Q4
1970,4,MENDOZA,22,-4.0,Q4
1970,4,MISIONES,38,-3.0,Q4
1970,4,NEUQUÉN,40,-3.0,Q4
1970,4,RÍO NEGRO,27,-4.0,Q4
1970,4,SALTA,33,-3.0,Q4
1970,4,SAN JUAN,11,0.0,Q4
1970,4,SAN LUIS,20,0.0,Q4
1970,4,SANTA CRUZ,8,-2.0,Q4
1970,4,SANTA FE,36,-2.0,Q4
1970,4,SANTIAGO DEL ESTERO,13,-1.0,Q4
1970,4,TIERRA DEL FUEGO,10,0.0,Q4
1970,4,TUCUMÁN,45,-2.0,Q4
1970,3,BUENOS AIRES,56,-4.0,Q3
1970,3,CABA,77,-5.0,Q3
1970,3,CATAMARCA,43,-3.0,Q3
1970,3,CHACO,39,-3.0,Q3
1970,3,CHUBUT,8,-1.0,Q3
1970,3,CÓRDOBA,41,-5.0,Q3
1970,3,CORRIENTES,32,-3.0,Q3
1970,3,ENTRE RÍOS,29,-4.0,Q3
1970,3,FORMOSA,26,-2.0,Q3
1970,3,JUJUY,25,-2.0,Q3
1970,3,LA PAMPA,12,-1.0,Q3
1970,3,LA RIOJA,38,-1.0,Q3
1970,3,MENDOZA,13,-9.0,Q3
1970,3,MISIONES,30,-8.0,Q3
1970,3,NEUQUÉN,38,-2.0,Q3
1970,3,RÍO NEGRO,25,-2.0,Q3
1970,3,SALTA,31,-2.0,Q3
1970,3,SAN JUAN,7,-4.0,Q3
1970,3,SAN LUIS,21,1.0,Q3
1970,3,SANTA CRUZ,7,-1.0,Q3
1970,3,SANTA FE,33,-3.0,Q3
1970,3,SANTIAGO DEL ESTERO,13,0.0,Q3
1970,3,TIERRA DEL FUEGO,9,-1.0,Q3
1970,3,TUCUMÁN,42,-3.0,Q3
1970,2,BUENOS AIRES,52,-4.0,Q2
1970,2,CABA,72,-5.0,Q2
1970,2,CATAMARCA,42,-1.0,Q2
1970,2,CHACO,37,-2.0,Q2
1970,2,CHUBUT,7,-1.0,Q2
1970,2,CÓRDOBA,39,-2.0,Q2
1970,2,CORRIENTES,30,-2.0,Q2
1970,2,ENTRE RÍOS,27,-2.0,Q2
1970,2,FORMOSA,23,-3.0,Q2
1970,2,JUJUY,25,0.0,Q2
1970,2,LA PAMPA,12,0.0,Q2
1970,2,LA RIOJA,38,0.0,Q2
1970,2,MENDOZA,13,0.0,Q2
1970,2,MISIONES,28,-2.0,Q2
1970,2,NEUQUÉN,36,-2.0,Q2
1970,2,RÍO NEGRO,23,-2.0,Q2
1970,2,SALTA,29,-2.0,Q2
1970,2,SAN JUAN,6,-1.0,Q2
1970,2,SAN LUIS,21,0.0,Q2
1970,2,SANTA CRUZ,7,0.0,Q2
1970,2,SANTA FE,30,-3.0,Q2
1970,2,SANTIAGO DEL ESTERO,12,-1.0,Q2
1970,2,TIERRA DEL FUEGO,8,-1.0,Q2
1970,2,TUCUMÁN,40,-2.0,Q2
1970,1,BUENOS AIRES,50,-2.0,Q1
1970,1,CABA,68,-4.0,Q1
1970,1,CATAMARCA,39,-3.0,Q1
1970,1,CHACO,33,-4.0,Q1
1970,1,CHUBUT,7,0.0,Q1
1970,1,CÓRDOBA,36,-3.0,Q1
1970,1,CORRIENTES,25,-5.0,Q1
1970,1,ENTRE RÍOS,23,-4.0,Q1
1970,1,FORMOSA,20,-3.0,Q1
1970,1,JUJUY,26,1.0,Q1
1970,1,LA PAMPA,10,-2.0,Q1
1970,1,LA RIOJA,12,-26.0,Q1
1970,1,MENDOZA,12,-1.0,Q1
1970,1,MISIONES,25,-3.0,Q1
1970,1,NEUQUÉN,34,-2.0,Q1
1970,1,RÍO NEGRO,21,-2.0,Q1
1970,1,SALTA,27,-2.0,Q1
1970,1,SAN JUAN,6,0.0,Q1
1970,1,SAN LUIS,21,0.0,Q1
1970,1,SANTA CRUZ,7,0.0,Q1
1970,1,SANTA FE,28,-2.0,Q1
1970,1,SANTIAGO DEL ESTERO,11,-1.0,Q1
1970,1,TIERRA DEL FUEGO,8,0.0,Q1
1970,1,TUCUMÁN,37,-3.0,Q1
1970,4,BUENOS AIRES,50,0.0,Q4
1970,4,CABA,67,-1.0,Q4
1970,4,CATAMARCA,37,-2.0,Q4
1970,4,CHACO,32,-1.0,Q4
1970,4,CHUBUT,7,0.0,Q4
1970,4,CÓRDOBA,35,-1.0,Q4
1970,4,CORRIENTES,25,0.0,Q4
1970,4,ENTRE RÍOS,24,1.0,Q4
1970,4,FORMOSA,19,-1.0,Q4
1970,4,JUJUY,25,-1.0,Q4
1970,4,LA PAMPA,9,-1.0,Q4
1970,4,LA RIOJA,12,0.0,Q4
1970,4,MENDOZA,11,-1.0,Q4
1970,4,MISIONES,24,-1.0,Q4
1970,4,NEUQUÉN,33,-1.0,Q4
1970,4,RÍO NEGRO,21,0.0,Q4
1970,4,SALTA,25,-2.0,Q4
1970,4,SAN JUAN,6,0.0,Q4
1970,4,SAN LUIS,21,0.0,Q4
1970,4,SANTA CRUZ,7,0.0,Q4
1970,4,SANTA FE,27,-1.0,Q4
1970,4,SANTIAGO DEL ESTERO,11,0.0,Q4
1970,4,TIERRA DEL FUEGO,8,0.0,Q4
1970,4,TUCUMÁN,36,-1.0,Q4
1970,3,BUENOS AIRES,48,-2.0,Q3
1970,3,CABA,63,-4.0,Q3
1970,3,CATAMARCA,36,-1.0,Q3
1970,3,CHACO,30,-2.0,Q3
1970,3,CHUBUT,7,0.0,Q3
1970,3,CÓRDOBA,33,-2.0,Q3
1970,3,CORRIENTES,23,-2.0,Q3
1970,3,ENTRE RÍOS,22,-2.0,Q3
1970,3,FORMOSA,18,-1.0,Q3
1970,3,JUJUY,21,-4.0,Q3
1970,3,LA PAMPA,10,1.0,Q3
1970,3,LA RIOJA,12,0.0,Q3
1970,3,MENDOZA,10,-1.0,Q3
1970,3,MISIONES,24,0.0,Q3
1970,3,NEUQUÉN,31,-2.0,Q3
1970,3,RÍO NEGRO,21,0.0,Q3
1970,3,SALTA,25,0.0,Q3
1970,3,SAN JUAN,6,0.0,Q3
1970,3,SAN LUIS,20,-1.0,Q3
1970,3,SANTA CRUZ,6,-1.0,Q3
1970,3,SANTA FE,25,-2.0,Q3
1970,3,SANTIAGO DEL ESTERO,10,-1.0,Q3
1970,3,TIERRA DEL FUEGO,8,0.0,Q3
1970,3,TUCUMÁN,34,-2.0,Q3
1970,2,BUENOS AIRES,45,-3.0,Q2
1970,2,CABA,60,-3.0,Q2
1970,2,CATAMARCA,34,-2.0,Q2
1970,2,CHACO,27,-3.0,Q2
1970,2,CHUBUT,7,0.0,Q2
1970,2,CÓRDOBA,30,-3.0,Q2
1970,2,CORRIENTES,22,-1.0,Q2
1970,2,ENTRE RÍOS,20,-2.0,Q2
1970,2,FORMOSA,16,-2.0,Q2
1970,2,JUJUY,15,-6.0,Q2
1970,2,LA PAMPA,8,-2.0,Q2
1970,2,LA RIOJA,11,-1.0,Q2
1970,2,MENDOZA,9,-1.0,Q2
1970,2,MISIONES,22,-2.0,Q2
1970,2,NEUQUÉN,29,-2.0,Q2
1970,2,RÍO NEGRO,19,-2.0,Q2
1970,2,SALTA,22,-3.0,Q2
1970,2,SAN JUAN,6,0.0,Q2
1970,2,SAN LUIS,21,1.0,Q2
1970,2,SANTA CRUZ,6,0.0,Q2
1970,2,SANTA FE,23,-2.0,Q2
1970,2,SANTIAGO DEL ESTERO,10,0.0,Q2
1970,2,TIERRA DEL FUEGO,8,0.0,Q2
1970,2,TUCUMÁN,32,-2.0,Q2
1970,1,BUENOS AIRES,45,0.0,Q1
1970,1,CABA,58,-2.0,Q1
1970,1,CATAMARCA,29,-5.0,Q1
1970,1,CHACO,25,-2.0,Q1
1970,1,CHUBUT,7,0.0,Q1
1970,1,CÓRDOBA,29,-1.0,Q1
1970,1,CORRIENTES,20,-2.0,Q1
1970,1,ENTRE RÍOS,19,-1.0,Q1
1970,1,FORMOSA,15,-1.0,Q1
1970,1,JUJUY,14,-1.0,Q1
1970,1,LA PAMPA,7,-1.0,Q1
1970,1,LA RIOJA,7,-4.0,Q1
1970,1,MENDOZA,8,-1.0,Q1
1970,1,MISIONES,22,0.0,Q1
1970,1,NEUQUÉN,27,-2.0,Q1
1970,1,RÍO NEGRO,19,0.0,Q1
1970,1,SALTA,21,-1.0,Q1
1970,1,SAN JUAN,6,0.0,Q1
1970,1,SAN LUIS,20,-1.0,Q1
1970,1,SANTA CRUZ,6,0.0,Q1
1970,1,SANTA FE,22,-1.0,Q1
1970,1,SANTIAGO DEL ESTERO,10,0.0,Q1
1970,1,TIERRA DEL FUEGO,7,-1.0,Q1
1970,1,TUCUMÁN,32,0.0,Q1
1970,4,BUENOS AIRES,30,-15.0,Q4
1970,4,CABA,44,-14.0,Q4
1970,4,CATAMARCA,24,-5.0,Q4
1970,4,CHACO,23,-2.0,Q4
1970,4,CHUBUT,6,-1.0,Q4
1970,4,CÓRDOBA,26,-3.0,Q4
1970,4,CORRIENTES,19,-1.0,Q4
1970,4,ENTRE RÍOS,17,-2.0,Q4
1970,4,FORMOSA,14,-1.0,Q4
1970,4,JUJUY,12,-2.0,Q4
1970,4,LA PAMPA,6,-1.0,Q4
1970,4,LA RIOJA,8,1.0,Q4
1970,4,MENDOZA,7,-1.0,Q4
1970,4,MISIONES,20,-2.0,Q4
1970,4,NEUQUÉN,26,-1.0,Q4
1970,4,RÍO NEGRO,17,-2.0,Q4
1970,4,SALTA,19,-2.0,Q4
1970,4,SAN JUAN,6,0.0,Q4
1970,4,SAN LUIS,20,0.0,Q4
1970,4,SANTA CRUZ,5,-1.0,Q4
1970,4,SANTA FE,20,-2.0,Q4
1970,4,SANTIAGO DEL ESTERO,9,-1.0,Q4
1970,4,TIERRA DEL FUEGO,7,0.0,Q4
1970,4,TUCUMÁN,29,-3.0,Q4
1970,3,BUENOS AIRES,25,-5.0,Q3
1970,3,CABA,38,-6.0,Q3
1970,3,CATAMARCA,9,-15.0,Q3
1970,3,CHACO,19,-4.0,Q3
1970,3,CHUBUT,6,0.0,Q3
1970,3,CÓRDOBA,23,-3.0,Q3
1970,3,CORRIENTES,16,-3.0,Q3
1970,3,ENTRE RÍOS,14,-3.0,Q3
1970,3,FORMOSA,13,-1.0,Q3
1970,3,JUJUY,11,-1.0,Q3
1970,3,LA PAMPA,5,-1.0,Q3
1970,3,LA RIOJA,8,0.0,Q3
1970,3,MENDOZA,6,-1.0,Q3
1970,3,MISIONES,17,-3.0,Q3
1970,3,NEUQUÉN,23,-3.0,Q3
1970,3,RÍO NEGRO,15,-2.0,Q3
1970,3,SALTA,14,-5.0,Q3
1970,3,SAN JUAN,6,0.0,Q3
1970,3,SAN LUIS,19,-1.0,Q3
1970,3,SANTA CRUZ,5,0.0,Q3
1970,3,SANTA FE,18,-2.0,Q3
1970,3,SANTIAGO DEL ESTERO,9,0.0,Q3
1970,3,TIERRA DEL FUEGO,6,-1.0,Q3
1970,3,TUCUMÁN,19,-10.0,Q3
1970,2,BUENOS AIRES,22,-3.0,Q2
1970,2,CABA,30,-8.0,Q2
1970,2,CATAMARCA,8,-1.0,Q2
1970,2,CHACO,16,-3.0,Q2
1970,2,CHUBUT,6,0.0,Q2
1970,2,CÓRDOBA,18,-5.0,Q2
1970,2,CORRIENTES,13,-3.0,Q2
1970,2,ENTRE RÍOS,12,-2.0,Q2
1970,2,FORMOSA,10,-3.0,Q2
1970,2,JUJUY,12,1.0,Q2
1970,2,LA PAMPA,5,0.0,Q2
